L,n_sweeps,rep,dwd,seed
8,100,0,0.0,198
8,100,1,0.0,1195
8,100,2,0.0,2192
8,100,3,0.0,3189
8,100,4,0.0,4186
8,100,5,0.0,5183
8,100,6,0.0,6180
8,100,7,0.0,7177
8,100,8,0.0,8174
8,100,9,0.0,9171
8,100,10,0.0,10168
8,100,11,0.0,11165
8,100,12,0.0,12162
8,100,13,0.0,13159
8,100,14,0.0,14156
8,100,15,0.0,15153
8,100,16,0.0,16150
8,100,17,0.0,17147
8,100,18,0.0,18144
8,100,19,0.0,19141
8,200,0,0.0,298
8,200,1,0.0,1295
8,200,2,0.0,2292
8,200,3,0.0,3289
8,200,4,0.0,4286
8,200,5,0.0,5283
8,200,6,0.0,6280
8,200,7,0.0,7277
8,200,8,0.0,8274
8,200,9,0.0,9271
8,200,10,0.0,10268
8,200,11,0.0,11265
8,200,12,0.0,12262
8,200,13,0.0,13259
8,200,14,0.0,14256
8,200,15,0.0,15253
8,200,16,0.0,16250
8,200,17,0.0,17247
8,200,18,0.0,18244
8,200,19,0.0,19241
8,500,0,0.0,598
8,500,1,0.0,1595
8,500,2,0.0,2592
8,500,3,0.0,3589
8,500,4,0.0,4586
8,500,5,0.0,5583
8,500,6,0.0,6580
8,500,7,0.0,7577
8,500,8,0.0,8574
8,500,9,0.0,9571
8,500,10,0.0,10568
8,500,11,0.0,11565
8,500,12,0.0,12562
8,500,13,0.0,13559
8,500,14,0.0,14556
8,500,15,0.0,15553
8,500,16,0.0,16550
8,500,17,0.0,17547
8,500,18,0.0,18544
8,500,19,0.0,19541
8,1000,0,0.0,1098
8,1000,1,0.0,2095
8,1000,2,0.0,3092
8,1000,3,0.0,4089
8,1000,4,0.0,5086
8,1000,5,0.0,6083
8,1000,6,0.0,7080
8,1000,7,0.0,8077
8,1000,8,0.0,9074
8,1000,9,0.0,10071
8,1000,10,0.0,11068
8,1000,11,0.0,12065
8,1000,12,0.0,13062
8,1000,13,0.0,14059
8,1000,14,0.0,15056
8,1000,15,0.0,16053
8,1000,16,0.0,17050
8,1000,17,0.0,18047
8,1000,18,0.0,19044
8,1000,19,0.0,20041
8,2000,0,0.0,2098
8,2000,1,0.0,3095
8,2000,2,0.0,4092
8,2000,3,0.0,5089
8,2000,4,0.0,6086
8,2000,5,0.0,7083
8,2000,6,0.0,8080
8,2000,7,0.0,9077
8,2000,8,0.0,10074
8,2000,9,0.0,11071
8,2000,10,0.0,12068
8,2000,11,0.0,13065
8,2000,12,0.0,14062
8,2000,13,0.0,15059
8,2000,14,0.0,16056
8,2000,15,0.0,17053
8,2000,16,0.0,18050
8,2000,17,0.0,19047
8,2000,18,0.0,20044
8,2000,19,0.0,21041
8,5000,0,0.0,5098
8,5000,1,0.0,6095
8,5000,2,0.0,7092
8,5000,3,0.0,8089
8,5000,4,0.0,9086
8,5000,5,0.0,10083
8,5000,6,0.0,11080
8,5000,7,0.0,12077
8,5000,8,0.0,13074
8,5000,9,0.0,14071
8,5000,10,0.0,15068
8,5000,11,0.0,16065
8,5000,12,0.0,17062
8,5000,13,0.0,18059
8,5000,14,0.0,19056
8,5000,15,0.0,20053
8,5000,16,0.0,21050
8,5000,17,0.0,22047
8,5000,18,0.0,23044
8,5000,19,0.0,24041
16,100,0,0.0,254
16,100,1,0.0,1251
16,100,2,0.0,2248
16,100,3,0.07421875,3245
16,100,4,0.0,4242
16,100,5,0.0,5239
16,100,6,0.0,6236
16,100,7,0.0,7233
16,100,8,0.0,8230
16,100,9,0.07421875,9227
16,100,10,0.0,10224
16,100,11,0.06640625,11221
16,100,12,0.0,12218
16,100,13,0.0,13215
16,100,14,0.0,14212
16,100,15,0.0,15209
16,100,16,0.0,16206
16,100,17,0.0,17203
16,100,18,0.0,18200
16,100,19,0.07421875,19197
16,200,0,0.0,354
16,200,1,0.0,1351
16,200,2,0.0,2348
16,200,3,0.0,3345
16,200,4,0.0,4342
16,200,5,0.0,5339
16,200,6,0.0,6336
16,200,7,0.0,7333
16,200,8,0.0,8330
16,200,9,0.0,9327
16,200,10,0.0,10324
16,200,11,0.0,11321
16,200,12,0.0,12318
16,200,13,0.0,13315
16,200,14,0.0,14312
16,200,15,0.0,15309
16,200,16,0.0,16306
16,200,17,0.0,17303
16,200,18,0.0,18300
16,200,19,0.0,19297
16,500,0,0.0,654
16,500,1,0.0,1651
16,500,2,0.0,2648
16,500,3,0.0,3645
16,500,4,0.0,4642
16,500,5,0.0,5639
16,500,6,0.0,6636
16,500,7,0.0,7633
16,500,8,0.0,8630
16,500,9,0.0,9627
16,500,10,0.0,10624
16,500,11,0.0,11621
16,500,12,0.0,12618
16,500,13,0.0,13615
16,500,14,0.0,14612
16,500,15,0.0,15609
16,500,16,0.0,16606
16,500,17,0.0,17603
16,500,18,0.0,18600
16,500,19,0.0,19597
16,1000,0,0.0,1154
16,1000,1,0.0,2151
16,1000,2,0.0,3148
16,1000,3,0.0,4145
16,1000,4,0.0,5142
16,1000,5,0.0,6139
16,1000,6,0.0,7136
16,1000,7,0.0,8133
16,1000,8,0.0,9130
16,1000,9,0.0,10127
16,1000,10,0.0,11124
16,1000,11,0.0,12121
16,1000,12,0.0,13118
16,1000,13,0.0,14115
16,1000,14,0.0,15112
16,1000,15,0.0,16109
16,1000,16,0.0,17106
16,1000,17,0.0,18103
16,1000,18,0.0,19100
16,1000,19,0.0,20097
16,2000,0,0.0,2154
16,2000,1,0.0,3151
16,2000,2,0.0,4148
16,2000,3,0.0,5145
16,2000,4,0.0,6142
16,2000,5,0.0,7139
16,2000,6,0.0,8136
16,2000,7,0.0,9133
16,2000,8,0.0,10130
16,2000,9,0.0,11127
16,2000,10,0.0,12124
16,2000,11,0.0,13121
16,2000,12,0.0,14118
16,2000,13,0.0,15115
16,2000,14,0.0,16112
16,2000,15,0.0,17109
16,2000,16,0.0,18106
16,2000,17,0.0,19103
16,2000,18,0.0,20100
16,2000,19,0.0,21097
16,5000,0,0.0,5154
16,5000,1,0.0,6151
16,5000,2,0.0,7148
16,5000,3,0.0,8145
16,5000,4,0.0,9142
16,5000,5,0.0,10139
16,5000,6,0.0,11136
16,5000,7,0.0,12133
16,5000,8,0.0,13130
16,5000,9,0.0,14127
16,5000,10,0.0,15124
16,5000,11,0.0,16121
16,5000,12,0.0,17118
16,5000,13,0.0,18115
16,5000,14,0.0,19112
16,5000,15,0.0,20109
16,5000,16,0.0,21106
16,5000,17,0.0,22103
16,5000,18,0.0,23100
16,5000,19,0.0,24097
32,100,0,0.0,366
32,100,1,0.0,1363
32,100,2,0.0341796875,2360
32,100,3,0.0,3357
32,100,4,0.0,4354
32,100,5,0.0,5351
32,100,6,0.0,6348
32,100,7,0.0,7345
32,100,8,0.0341796875,8342
32,100,9,0.0,9339
32,100,10,0.0361328125,10336
32,100,11,0.0,11333
32,100,12,0.0341796875,12330
32,100,13,0.0,13327
32,100,14,0.033203125,14324
32,100,15,0.0,15321
32,100,16,0.0,16318
32,100,17,0.0,17315
32,100,18,0.0,18312
32,100,19,0.0,19309
32,200,0,0.0,466
32,200,1,0.0,1463
32,200,2,0.0,2460
32,200,3,0.0,3457
32,200,4,0.0,4454
32,200,5,0.0,5451
32,200,6,0.0,6448
32,200,7,0.033203125,7445
32,200,8,0.0,8442
32,200,9,0.0,9439
32,200,10,0.0,10436
32,200,11,0.0341796875,11433
32,200,12,0.033203125,12430
32,200,13,0.033203125,13427
32,200,14,0.0322265625,14424
32,200,15,0.033203125,15421
32,200,16,0.0,16418
32,200,17,0.0361328125,17415
32,200,18,0.0,18412
32,200,19,0.0,19409
32,500,0,0.0,766
32,500,1,0.0,1763
32,500,2,0.0,2760
32,500,3,0.0,3757
32,500,4,0.0322265625,4754
32,500,5,0.0,5751
32,500,6,0.0,6748
32,500,7,0.0341796875,7745
32,500,8,0.0,8742
32,500,9,0.0,9739
32,500,10,0.0,10736
32,500,11,0.0,11733
32,500,12,0.0,12730
32,500,13,0.0,13727
32,500,14,0.0,14724
32,500,15,0.0,15721
32,500,16,0.0,16718
32,500,17,0.0,17715
32,500,18,0.0,18712
32,500,19,0.0,19709
32,1000,0,0.0,1266
32,1000,1,0.0,2263
32,1000,2,0.0,3260
32,1000,3,0.0,4257
32,1000,4,0.0,5254
32,1000,5,0.0,6251
32,1000,6,0.0,7248
32,1000,7,0.0,8245
32,1000,8,0.0,9242
32,1000,9,0.0,10239
32,1000,10,0.0,11236
32,1000,11,0.0,12233
32,1000,12,0.0,13230
32,1000,13,0.0341796875,14227
32,1000,14,0.0,15224
32,1000,15,0.0,16221
32,1000,16,0.0,17218
32,1000,17,0.0,18215
32,1000,18,0.0,19212
32,1000,19,0.0,20209
32,2000,0,0.0,2266
32,2000,1,0.0,3263
32,2000,2,0.0,4260
32,2000,3,0.0,5257
32,2000,4,0.0,6254
32,2000,5,0.0,7251
32,2000,6,0.0,8248
32,2000,7,0.0,9245
32,2000,8,0.0,10242
32,2000,9,0.0,11239
32,2000,10,0.0,12236
32,2000,11,0.0,13233
32,2000,12,0.0,14230
32,2000,13,0.0,15227
32,2000,14,0.0,16224
32,2000,15,0.0,17221
32,2000,16,0.0,18218
32,2000,17,0.0,19215
32,2000,18,0.0,20212
32,2000,19,0.0,21209
32,5000,0,0.0,5266
32,5000,1,0.0,6263
32,5000,2,0.0,7260
32,5000,3,0.0,8257
32,5000,4,0.0,9254
32,5000,5,0.0,10251
32,5000,6,0.0,11248
32,5000,7,0.0,12245
32,5000,8,0.0,13242
32,5000,9,0.0,14239
32,5000,10,0.0,15236
32,5000,11,0.0,16233
32,5000,12,0.0,17230
32,5000,13,0.0,18227
32,5000,14,0.0,19224
32,5000,15,0.0,20221
32,5000,16,0.0,21218
32,5000,17,0.0,22215
32,5000,18,0.0,23212
32,5000,19,0.0,24209
