L,n_sweeps,dwd_mean,dwd_std,n_reps
8,100,0.0,0.0,20
8,200,0.0,0.0,20
8,500,0.0,0.0,20
8,1000,0.0,0.0,20
8,2000,0.0,0.0,20
8,5000,0.0,0.0,20
16,100,0.014453125,0.029697777826169086,20
16,200,0.0,0.0,20
16,500,0.0,0.0,20
16,1000,0.0,0.0,20
16,2000,0.0,0.0,20
16,5000,0.0,0.0,20
32,100,0.00859375,0.015279380637193704,20
32,200,0.011767578125,0.01646791880856957,20
32,500,0.0033203125,0.010224616493157803,20
32,1000,0.001708984375,0.007642810469969985,20
32,2000,0.0,0.0,20
32,5000,0.0,0.0,20
