Exp 108 — KZM Power-Law Fit Summary (Single-Wall Regime)
======================================================================

Design: L∈{256,512}, n∈{800,1600,3200,6400,12800,25600}, N=200 reps
Input:  107_exp108_raw.csv

     L   expo(all)   R²(all)   expo(≥3nz)   R²(≥3nz)   n_pts
------------------------------------------------------------
   256     -0.0255    0.1635      -0.0255     0.1635       6
   512     -0.0719    0.5447      -0.0719     0.5447       6

Theory (2D model-A AF Ising, KZM): exponent = -1/3 ≈ -0.3333
Min nonzero threshold: 3 reps

Per-(L, n_sweeps) table:
  L  n_sweeps  n_total  n_nonzero  defect_prob  mean_dwd   se_dwd
256       800      200         75        0.375  0.001616 0.000153
256      1600      200         65        0.325  0.001344 0.000139
256      3200      200         68        0.340  0.001402 0.000140
256      6400      200         75        0.375  0.001560 0.000145
256     12800      200         73        0.365  0.001481 0.000139
256     25600      200         65        0.325  0.001318 0.000135
512       800      200         73        0.365  0.000872 0.000087
512      1600      200         71        0.355  0.000743 0.000072
512      3200      200         73        0.365  0.000780 0.000075
512      6400      200         59        0.295  0.000609 0.000067
512     12800      200         65        0.325  0.000668 0.000069
512     25600      200         68        0.340  0.000689 0.000068
